Full Name,Authentication Email,Security Group
Andrew Kemp,andy.kemp@andykemp.dev,Group1
Andrew Kemp,andy.kemp@andykemp.dev,Group2
Andrew Kemp,andy.kemp@andykemp.dev,Group3
Andrew Kemp,andy.kemp@andykemp.dev,Group4
Han Solo,Han.Solo@andykemp.dev,Group1
Han Solo,Han.Solo@andykemp.dev,Group2
Han Solo,Han.Solo@andykemp.dev,Group3
Han Solo,Han.Solo@andykemp.dev,Group4
Luke Skywalker,Luke.Skywalker@andykemp.dev,Group1
Luke Skywalker,Luke.Skywalker@andykemp.dev,Group2
Luke Skywalker,Luke.Skywalker@andykemp.dev,Group3
Luke Skywalker,Luke.Skywalker@andykemp.dev,Group4
R2 D2,R2.D2@andykemp.dev,Group1
R2 D2,R2.D2@andykemp.dev,Group2
R2 D2,R2.D2@andykemp.dev,Group3
R2 D2,R2.D2@andykemp.dev,Group4
C3 PO,c3.po@andykemp.dev,Group1
C3 PO,c3.po@andykemp.dev,Group2
C3 PO,c3.po@andykemp.dev,Group3
C3 PO,c3.po@andykemp.dev,Group4
